Building ID,Owner ID,zip_code,neighborhood,block,address,building_class_category,tax_class,building_class,year_built,LandUse
6423,O133008,11233,BEDFORD STUYVESANT,1712,1845 ATLANTIC AVENUE,07  RENTALS - WALKUP APARTMENTS,2B,C1,2004,2
6424,O69025,11217,FORT GREENE,2111,1 HANSON PLACE,13  CONDOS - ELEVATOR APARTMENTS,2,R4,0,NA
6425,O7424,11238,PROSPECT HEIGHTS,1172,1 GRAND ARMY PLAZA,13  CONDOS - ELEVATOR APARTMENTS,2,R4,0,NA
6426,O168745,11201,DOWNTOWN-FULTON MALL,170,265 STATE STREET,13 CONDOS - ELEVATOR APARTMENTS,2,R4,2014,NA
6427,O355926,11201,DOWNTOWN-FULTON FERRY,28,31 WASHINGTON STREET,13  CONDOS - ELEVATOR APARTMENTS,2,R4,2001,NA
6428,O206747,11201,DOWNTOWN-FULTON FERRY,36,30 MAIN STREET,13  CONDOS - ELEVATOR APARTMENTS,2,R4,1910,NA
6429,O119528,11225,CROWN HEIGHTS,1187,995 PRESIDENT STREET,02 TWO FAMILY HOMES,1,B3,1920,1
6430,O106790,11215,PARK SLOPE,1072,"27 PROSPECT PARK WEST, 9A                ",10  COOPS - ELEVATOR APARTMENTS,2,D4,1928,3
6431,O32982,11201,COBBLE HILL,312,226 BALTIC STREET,01 ONE FAMILY HOMES,1,A9,1901,1
6432,O394069,11238,CLINTON HILL,2011,500 WAVERLY AVENUE,13 CONDOS - ELEVATOR APARTMENTS,2,R4,2015,NA
6433,O182186,11204,GRAVESEND,6580,1430 WEST 4TH   STREET,05  TAX CLASS 1 VACANT LAND,1B,V0,0,11
6434,O381392,11211,WILLIAMSBURG-NORTH,2305,172 NORTH 10TH STREET,13  CONDOS - ELEVATOR APARTMENTS,2,R4,1920,NA
6435,O243695,11201,DOWNTOWN-FULTON FERRY,1,1 JOHN STREET,13  CONDOS - ELEVATOR APARTMENTS,2,R4,2014,NA
6436,O255927,11217,FORT GREENE,2096,36 ST FELIX STREET,07  RENTALS - WALKUP APARTMENTS,2A,C2,2000,2
6437,O32983,11213,CROWN HEIGHTS,1235,910 PROSPECT PLACE,07  RENTALS - WALKUP APARTMENTS,2B,C1,1905,2
6438,O45187,11203,FLATBUSH-NORTH,4620,657 UTICA AVENUE,22 STORE BUILDINGS,4,K1,1931,5
6439,O293824,11215,GOWANUS,997,214 7TH ST,02 TWO FAMILY HOMES,1,B3,1901,1
6440,O355504,11217,PARK SLOPE,954,158 BERKELEY PLACE,02 TWO FAMILY HOMES,1,B3,1901,1
6441,O331090,11233,OCEAN HILL,1551,2108 FULTON STREET,07  RENTALS - WALKUP APARTMENTS,2B,C1,1910,2
6442,O45193,11222,GREENPOINT,2597,184 CALYER STREET,02 TWO FAMILY HOMES,1,B9,1920,1
6443,O331532,11222,GREENPOINT,2552,231 KENT STREET,27  FACTORIES,4,F9,1931,6
6444,O57570,11237,WILLIAMSBURG-EAST,2996,1267 FLUSHING AVENUE,27  FACTORIES,4,F9,1931,6
6445,O355941,11222,GREENPOINT,2569,106 NOBLE STREET,02 TWO FAMILY HOMES,1,B9,1899,1
6446,O82088,11221,BEDFORD STUYVESANT,1645,588 MADISON STREET,03 THREE FAMILY HOMES,1,C0,1899,2
6447,O144864,11201,BROOKLYN HEIGHTS,243,"114 PIERREPONT STREET, 8/9               ",09  COOPS - WALKUP APARTMENTS,2C,C6,1900,2
6448,O44730,11235,SHEEPSHEAD BAY,8786,3611 SHORE PARKWAY,07  RENTALS - WALKUP APARTMENTS,2,C1,1982,NA
6449,O218830,11213,CROWN HEIGHTS,1395,972 EASTERN PARKWAY,07  RENTALS - WALKUP APARTMENTS,2,C1,1922,2
6450,O280686,11213,CROWN HEIGHTS,1395,988 EASTERN PARKWAY,07  RENTALS - WALKUP APARTMENTS,2,C1,1922,2
